name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,usersrated,average,bayesaverage,ranks/rank,owned,averageweight,numweights
Topas,2009,1,4,15,15,15,8,105,5.59952,5.50821,12230,207,1.1429,7
Inferno,2005,3,7,20,20,20,8,122,5.84344,5.53085,10150,247,1.4,10
Dark Side,2001,3,5,60,60,60,10,43,4.66093,5.47035,14625,88,2,5
Einfach Genial Knobelspass,2007,1,4,15,15,15,10,62,5.97419,5.52219,10945,124,1.7143,7
Axio,2017,2,4,40,20,40,8,93,6.67167,5.58703,6588,109,1.5,6
Kangaroo,2009,3,6,10,10,10,5,90,5.63722,5.51031,12019,150,1,9
Flinke Flitzer,2000,2,4,10,10,10,4,54,5.38889,5.49268,13497,120,1,9
Horse Fair Card Game,2007,2,6,20,20,20,6,78,5.74615,5.51578,11544,121,1.0909,11
Over/Under,2008,2,99,15,15,15,10,58,5.92069,5.51882,11257,176,1,2
Planet Rush,2016,3,5,45,45,45,13,22,6.89545,0,Not Ranked,42,2,2
Complica,1985,2,2,10,10,10,7,15,6.46667,0,Not Ranked,20,2,2
Rooster Booster,2004,3,5,30,30,30,8,66,5.50606,5.49821,13108,104,1.3333,9
Nuba,1995,2,2,10,10,10,12,44,6.21318,5.52723,10480,94,2,5
Wer war's?: Mitbringspiel,2009,2,5,15,15,15,5,48,6.28854,5.53146,10097,149,1,3
Lost Cities: To Go,2018,2,2,20,20,20,8,56,6.97589,5.56852,7425,136,0,0
Voodoo Prince,2017,2,5,20,20,20,8,191,6.83784,5.69666,4143,322,1.5,2
Unauthorized Production,2014,2,8,20,20,20,0,28,5.78393,0,Not Ranked,102,1,1
Diabolo,1999,2,6,20,20,20,10,38,5.74816,5.50562,12470,97,1.3333,6
Forbidden City,2018,2,4,30,30,30,8,28,6.41429,0,Not Ranked,41,0,0
Sudoku: Duell der Meister,2006,2,2,25,25,25,10,51,5.94706,5.51967,11162,100,2.2,5
Icarus,2015,3,7,45,30,45,13,42,6.01905,5.51895,11240,82,1,1
Kartenschach,2000,2,2,60,60,60,12,19,6.49474,0,Not Ranked,59,2,5
James Rizzi,2005,2,2,10,10,10,12,17,5.76471,0,Not Ranked,5,1,2
Einfach Genial: Das Würfelspiel,2012,2,4,30,30,30,8,127,5.43595,5.49138,13595,241,1.3333,6
Neuron,2010,1,4,20,20,20,8,44,5.35682,5.49453,13381,53,2,4
Piranhas,2012,2,4,20,20,20,8,83,5.72892,5.51595,11524,178,1,8
Connections,2012,1,4,20,20,20,8,97,6.36155,5.57063,7327,152,1.7143,7
Bee Alert,2012,2,5,15,15,15,4,98,6.50306,5.58031,6847,139,1.2,5
Leapin' Lily Pads,2000,2,5,15,15,15,4,54,5.51481,5.50414,12602,89,1,5
Jupiter,1993,2,4,15,15,15,8,34,6.28824,5.52085,11078,69,1.5,2
Yundao,2004,2,5,30,30,30,10,67,5.03358,5.47206,14568,62,1.6364,11
Captain Black,2015,2,4,50,30,50,6,38,6.38947,5.52948,10271,86,2,1
RevoltaaA,2015,3,5,20,10,20,10,89,5.7618,5.51232,11845,110,1.1818,11
Scary Tales: Big Bad Wolf vs. Cinderella,0,2,2,20,20,20,13,3,5.33333,0,Not Ranked,10,1,1
The Amazing Spider-Man Game,2012,2,4,15,15,15,6,12,4.75833,0,Not Ranked,20,1,1
Ferkelei,1995,2,5,45,45,45,8,25,5.56,0,Not Ranked,53,1,1
Tor,1995,2,2,20,20,20,8,34,5.26471,5.49168,13576,75,1,1
Allerley Spielerey,1994,1,7,30,30,30,12,6,6,0,Not Ranked,18,0,0
Memo Street,2003,2,4,20,20,20,8,54,5.22963,5.48744,13821,68,1.25,4
Pantheon,0,2,4,20,20,20,12,5,6.6,0,Not Ranked,16,0,0
Stingy,2015,2,6,50,30,50,10,74,5.42297,5.49796,13121,110,2,4
Tiku,1993,2,2,15,15,15,0,32,6.79063,5.53622,9684,57,1.3333,3
Criss Cross,2017,1,6,10,10,10,8,130,6.35462,5.58696,6591,253,1,2
3D Memo Smurfs,2008,2,5,10,10,10,0,2,5.5,0,Not Ranked,5,0,0
Kariba,2010,2,6,20,20,20,7,53,6.26434,5.53879,9472,109,1,1
Abenteuer auf dem Zahlen-Fluss,2006,1,4,15,15,15,7,7,7,0,Not Ranked,19,2,1
Silver Screen,2014,2,4,40,40,40,11,1,7,0,Not Ranked,3,0,0
Fast Lane,2010,2,6,10,10,10,6,39,5.45667,5.49853,13069,75,1,6
Spirits!,2007,2,6,20,20,20,0,71,5.61268,5.4966,13238,131,1,8
Animal Express,2007,2,5,20,20,20,5,46,5.37609,5.49506,13341,38,1,3
Cars 2: Race Champions,2011,2,4,15,15,15,5,21,4.38095,0,Not Ranked,36,1,4
