name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,usersrated,average,bayesaverage,ranks/rank,owned,averageweight,numweights
Kolej na kolej,2016,2,4,20,20,20,8,9,4.55556,0,Not Ranked,15,0,0
Kurzer Prozess,2017,3,6,45,30,45,10,6,5,0,Not Ranked,10,0,0
Seimi in the Super Crazy World,2017,2,5,45,45,45,9,14,6.57143,0,Not Ranked,24,0,0
Benjamin Blümchen: Lernabenteuer Auf Weltreise,2006,1,4,20,20,20,5,0,0,0,Not Ranked,3,0,0
Zające na łące,2016,2,4,20,20,20,6,11,6.45455,0,Not Ranked,15,0,0
Meine Goldene Wetterau,2017,2,4,30,20,30,6,2,4,0,Not Ranked,7,0,0
Buddy Hop,2014,2,5,20,0,20,4,8,5,0,Not Ranked,15,0,0
Office!,2015,3,5,10,10,10,8,2,6,0,Not Ranked,4,0,0
Karate Tomate,2018,3,10,0,20,0,8,2,4,0,Not Ranked,5,1,1
Hook 'em,2013,2,8,20,20,20,6,1,6.8,0,Not Ranked,4,0,0
Was ist Was: Junior – Ritterburg Kartenspiel,2008,2,5,15,15,15,0,1,5,0,Not Ranked,2,0,0
Die Wilden Kerle: Tor,2012,2,2,20,20,20,8,5,6.08,0,Not Ranked,18,0,0
Think: Kids – Alles Gemerkt?,2009,2,5,30,30,30,7,0,0,0,Not Ranked,6,0,0
600,1990,1,6,0,0,0,6,2,6,0,Not Ranked,1,0,0
Cards4You,2010,2,6,15,15,15,4,2,6.5,0,Not Ranked,1,2,1
Triade,1992,2,2,20,20,20,10,0,0,0,Not Ranked,6,0,0
Poker Kids,2008,2,6,30,30,30,5,0,0,0,Not Ranked,0,0,0
Clickbait,2018,3,8,30,10,30,14,2,8,0,Not Ranked,4,0,0
Hurjan hauska autokilpa,2016,2,5,20,15,20,6,6,5.66667,0,Not Ranked,2,0,0
Der Schatz des Käpt'n Flint,1991,2,2,10,10,10,8,1,7,0,Not Ranked,10,0,0
Prinzessin Lillifee: Das verzauberte Reh,2010,2,4,20,20,20,5,2,5.25,0,Not Ranked,6,0,0
Das Niederösterreich-Spiel,2004,2,6,30,30,30,7,3,4.33333,0,Not Ranked,7,0,0
Die Maus: Reise durch Deutschland,2015,2,4,20,20,20,7,0,0,0,Not Ranked,5,0,0
Hau Ruck!,2001,2,2,10,10,10,5,0,0,0,Not Ranked,1,0,0
Do You Know Shakespeare?,0,2,4,0,30,0,12,2,6,0,Not Ranked,4,0,0
Promi-Klatsch,2007,2,6,0,0,0,10,4,6.75,0,Not Ranked,7,0,0
Tiptoi bordspel: Het mysterie van het getalleneiland,2012,1,4,30,20,30,5,4,6,0,Not Ranked,15,1,1
Word Bits,2012,2,4,20,20,20,8,4,8.125,0,Not Ranked,13,1,1
Wer war's Happy Meal edition,2015,2,4,0,0,0,5,2,5.5,0,Not Ranked,7,0,0
Verfünft!,2012,1,4,15,15,15,8,2,4.5,0,Not Ranked,6,0,0
Monster Allergy YO! game,0,2,4,15,15,15,8,0,0,0,Not Ranked,0,0,0
Isle of Coconuts,2015,2,4,20,20,20,8,2,5.5,0,Not Ranked,3,0,0
Top That,2016,2,6,15,15,15,8,3,3,0,Not Ranked,3,1,1
Sprücheklopfer,2012,2,0,0,0,0,8,2,6,0,Not Ranked,3,0,0
Reporterspiel,2005,2,4,60,60,60,10,0,0,0,Not Ranked,1,0,0
Der magische Zwergenwald,2015,2,4,0,15,0,4,5,5.96,0,Not Ranked,14,1,2
Sabrina Stachelschwein,2017,2,5,15,10,15,6,2,4.75,0,Not Ranked,7,0,0
Tabaluga: Der Regenbogenschatz,2000,2,4,10,10,10,5,0,0,0,Not Ranked,1,0,0
Wirbelwörter,2012,2,0,0,0,0,8,3,6.66667,0,Not Ranked,6,0,0
Brain To Go: Gans schön verdächtig,2018,1,5,15,15,15,8,3,5.03333,0,Not Ranked,9,0,0
Monster High: Potworrrnie wciągająca gra!,2014,2,7,15,15,15,8,1,6.5,0,Not Ranked,2,1,1
Ravensburger Spiele Minis: Tiefsee Memo,2011,2,4,10,10,10,5,0,0,0,Not Ranked,0,0,0
Sacramento,1995,2,6,0,0,0,0,1,8,0,Not Ranked,0,1,1
Animal Snacks,2016,2,5,10,10,10,3,0,0,0,Not Ranked,1,0,0
Rechen Fuchs,2015,2,0,20,10,20,9,1,5,0,Not Ranked,1,0,0
IQ Bingo Logik,2012,2,2,20,10,20,8,0,0,0,Not Ranked,1,0,0
Was ist Was: Junior – Baustelle Kartenspiel,2008,2,5,15,15,15,6,2,7,0,Not Ranked,2,1,1
Dino Kontra Dino,2015,2,4,0,15,0,7,10,4.4,0,Not Ranked,18,0,0
Icebreaker Snow,2017,2,4,25,25,25,7,8,4.875,0,Not Ranked,3,0,0
Crobête,2018,2,4,15,0,15,6,0,0,0,Not Ranked,2,0,0
Labyrint Flip,2016,2,4,0,15,0,6,3,6.16667,0,Not Ranked,4,1,1
Tar Trackers,2016,2,4,10,10,10,6,0,0,0,Not Ranked,1,0,0
Was ist  Was: Junior – Polizei Kartenspiel,2008,2,5,15,15,15,6,0,0,0,Not Ranked,1,0,0
Wickie: Schatz Ahoi!,2016,2,4,20,10,20,5,0,0,0,Not Ranked,7,0,0
Das Quiz-Spiel mit der Maus,0,2,6,40,30,40,7,0,0,0,Not Ranked,2,0,0
IQ Bingo Tiere,2012,2,2,20,10,20,8,0,0,0,Not Ranked,1,0,0
Sticks & Stunts,2014,2,6,20,20,20,8,2,7,0,Not Ranked,4,0,0
Octo,1999,2,0,0,0,0,0,1,6,0,Not Ranked,0,0,0
IQ Bingo Welt,2012,2,2,20,10,20,8,0,0,0,Not Ranked,0,0,0
Keep Ahead,1994,2,4,60,40,60,10,0,0,0,Not Ranked,0,0,0
Nugget,1995,2,4,0,0,0,0,1,6,0,Not Ranked,0,0,0
Fang den Hut: Das Kartenspiel,2005,2,5,0,30,0,6,2,4.5,0,Not Ranked,1,0,0
Owl Solve That!,2017,2,4,20,20,20,10,0,0,0,Not Ranked,3,0,0
